Image,PLS_Coeff,PLS_R2,Surprise_PLS_Coeff,Surprise_PLS_R2,Sadness_PLS_Coeff,Sadness_PLS_R2,Joy_PLS_Coeff,Joy_PLS_R2,Fear_PLS_Coeff,Fear_PLS_R2,Anger_PLS_Coeff,Anger_PLS_R2,Disgust_PLS_Coeff,Disgust_PLS_R2,Valence,Category
AA-9181.jpg,-0.023831544864929048,0.4001914051228208,-0.006814493684438623,0.47184843354963524,0.035362053664847466,0.3726379978614959,0.04690649623627718,0.4129084394782486,-0.18569883345766003,0.21713573238631445,0.0189686346495934,0.536772893329625,-0.05171312659819367,0.38984493413160615,Neg,Animal_Gory
AA-9561.jpg,0.020974277916334584,0.4052236650045525,0.07157953846187413,0.4975614981990103,0.03335924645111366,0.6007882039113286,0.06273877200020027,0.3736829484520616,0.01916724895473506,0.325549379778172,0.018609694386253824,0.43443406004061746,-0.07960883275616945,0.1993258996461248,Neg,Animal_Gory
AA-A041.jpg,0.04704566519443038,0.39726170879847755,0.04882283366343392,0.5141779072363901,0.05615357402462777,0.45177751685401224,0.10965760004607236,0.3175807667284055,-0.02568323747092778,0.30223201352276796,0.05218635020817004,0.5002490812099798,0.04113687069520592,0.2975529672393099,Neg,Animal_Gory
AA-A069.jpg,0.017355427231150706,0.4847072192979976,-0.13493964977815723,0.7187484600303904,0.10605107194537809,0.3773270462074213,-0.06673004578416886,0.3812208191651556,0.003911901665615419,0.12570587395177202,0.08528190811503823,0.7072936209031562,0.11055737722319856,0.5979474955300901,Neg,Animal_Gory
AA-A095.jpg,-0.0063555769832495754,0.47233745171153824,0.024816997697211622,0.6049046208171671,-0.09746942373074442,0.2982803928474309,-0.011593038702355977,0.4054465188224303,-0.057557250352104204,0.34541631201517464,0.003063753162106531,0.5883704255890331,0.100605500026389,0.5916064401779937,Neg,Animal_Gory
AA-Animals_056_h.jpg,0.039474508763131806,0.47112292848240117,0.01686305944193606,0.4351399561418303,0.10430396883345622,0.4351875731121372,0.0029513870306982835,0.38913693893203793,0.07936098238401558,0.4174305237671321,0.07966702372163474,0.7217547428505613,-0.04629936883295002,0.428087836090708,Neg,Animal_Gory
AC-Faces_321_h.jpg,0.06302923885178494,0.5914881824896033,0.00626908371027375,0.7166494523498433,0.07508851973424838,0.5803789103286038,0.21567865141493373,0.5236438442534425,0.03889593686824818,0.5215327008298469,0.02418802233507828,0.6208801144743161,0.018055219047927316,0.5858440727015675,Pos,Adult_Organized_Sports
AC-beauty.jpg,0.0562601159343494,0.5721208320037716,0.10339148740509334,0.5898425228265609,0.014308165226152369,0.46275645266585497,0.012137585273058915,0.5697154084695965,0.01849124727110995,0.6018993837222355,0.08189502131810512,0.4772180006830551,0.10733718911257666,0.731293223655327,Pos,Adult_Organized_Sports
AC-catch.jpg,0.05409083830163493,0.5895391256801347,0.0007037632785084582,0.7935622536984895,-0.0233793653202823,0.5645970994214926,0.2166444350546462,0.6104548120085302,0.01574293222346033,0.5145667037094106,0.09261809217699954,0.5095052865138754,0.022215172396477363,0.5445485987290106,Pos,Adult_Organized_Sports
AC-run.jpg,0.13706907542235655,0.5731641436856055,0.08174005469919443,0.6519264825286208,0.2197954719406227,0.5649325850199604,0.1783218981789931,0.6533502986311208,0.09786479460493067,0.5123996778338591,0.08751392683051801,0.5096300563828275,0.15717830627988033,0.5467457617172443,Pos,Adult_Organized_Sports
