ROI,mean,p
0,0.016771318476151535,0.0001999600079984003
1,0.1617563660528123,0.0001999600079984003
2,0.01760972795097487,0.0001999600079984003
3,0.019615309869228617,0.0001999600079984003
4,0.216362830487789,0.0001999600079984003
5,0.046101906649925584,0.0001999600079984003
6,0.023884145014223562,0.0001999600079984003
7,0.028282059821653577,0.0001999600079984003
8,0.014318505255230015,0.0001999600079984003
9,0.028606249809699273,0.0001999600079984003
10,0.16751684008924225,0.0001999600079984003
11,0.15751190645666788,0.0001999600079984003
12,0.014237899712985587,0.0001999600079984003
13,0.02408504839353212,0.0001999600079984003
14,0.032010841574208755,0.0001999600079984003
15,0.026402682502316102,0.0001999600079984003
16,0.019353030535862365,0.0001999600079984003
17,0.0057030779670539196,0.0001999600079984003
18,0.013375460773804047,0.0001999600079984003
19,0.043500228361217745,0.0001999600079984003
20,0.21451331611679908,0.0001999600079984003
21,0.09041112453727009,0.0001999600079984003
22,0.01575600102243032,0.0001999600079984003
23,0.03862686581957943,0.0001999600079984003
24,0.09099683373730377,0.0001999600079984003
25,0.04242955757580825,0.0001999600079984003
26,0.00918909190373239,0.0001999600079984003
27,0.056449236413984846,0.0001999600079984003
28,0.04357624501927718,0.0001999600079984003
29,0.00970948262782106,0.0001999600079984003
30,0.036813358287766246,0.0001999600079984003
31,0.1448659322864976,0.0001999600079984003
32,0.021135884316399494,0.0001999600079984003
33,0.03404108070028659,0.0001999600079984003
34,0.015634295039662887,0.0001999600079984003
35,0.00977584794753466,0.0001999600079984003
36,0.06931697742513142,0.0001999600079984003
37,0.008248167014121566,0.0001999600079984003
38,0.1588779941365781,0.0001999600079984003
39,0.011840406698893675,0.0001999600079984003
40,0.02550860539136548,0.0001999600079984003
41,0.1024711175668981,0.0001999600079984003
42,0.07834771615891176,0.0001999600079984003
43,0.134205936582176,0.0001999600079984003
44,0.012859357483111724,0.0001999600079984003
45,0.023887420883976846,0.0001999600079984003
46,0.1102152453212526,0.0001999600079984003
47,0.010888948444260173,0.0001999600079984003
48,0.022746878404042967,0.0001999600079984003
49,0.029333679978420516,0.0001999600079984003
