,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49
AA-9181.jpg,0.025437177597026295,0.1931845680453864,0.039589802400190194,0.02026372206864552,0.27046232261763814,0.06577699520873431,0.022505479708473143,0.04992237337136717,0.026830684041584375,0.0455451557678693,0.18760652805133549,0.14902585287294065,0.012615751000305167,0.04752989561484756,0.04760167038159862,0.019438334396223257,0.014703465071627255,0.014322606625325791,0.005879101095892572,0.10770842108942413,0.2394492308641861,0.10412810253899052,0.011421083418750082,0.0712144329013711,0.11026647696540766,0.08211485990367165,0.02800847610984349,0.1017023844774665,0.05648137862926637,0.03421120806586514,0.03015167182214849,0.20404193836474552,0.057686997484873895,0.09926821731472174,0.06284654387064267,0.006505425958063289,0.07801972366970344,0.006391441249655143,0.19383971999728838,0.04037482642101181,0.032403255459060566,0.1416772461876656,0.1045969986964212,0.14609314409125893,0.032617791893576664,0.06813050030802063,0.107069157360794,0.016405933775565915,0.032070189283456,0.08643978596492369
AA-9561.jpg,-0.004613022652121139,0.19902303585197528,0.061520966418357144,0.028074204217002904,0.2796844968319565,0.016738037284380128,0.010288082634764644,0.021814014791143237,0.005234767591047014,0.014703132411971232,0.13296490703953281,0.14116719960234161,0.043942162433171734,0.0211064139484922,0.03296949032499004,0.025659713254152484,0.017902844966314026,0.005789478843456667,0.015392937040882498,0.01151461492082241,0.19704238668722268,0.18495253654317215,-0.008291358112188197,0.0742583554234617,0.0723735707734552,0.06057138735583376,-0.0011567826668912242,0.08151956757548512,0.0338459098580457,-0.0011431986831000026,0.07583304522367036,0.23346663503203965,0.01351541331641197,0.018952615149944202,0.016777733757718443,0.012366087351315095,0.10455452091462637,0.0035544453149007685,0.16690986184819406,-0.009512933473547109,0.018308746155992837,0.0732745021263789,0.1058382778021672,0.12233867376991614,0.014774071046837187,0.016800945251766418,0.18249939160858045,-0.011876835478132184,0.0171693026721074,0.03000995811006151
AA-A041.jpg,0.11863173221583903,0.2939851881509597,0.06983486910709366,0.06607077615203669,0.20752719196161915,0.13614065929693184,0.11704386254878543,0.06899543816200374,0.040444225382923735,0.11897966261000403,0.1984479576363836,0.18546391713349156,0.027292576222790115,0.07146727128857422,0.06945271334421001,0.08846611179782356,0.05249934792289149,0.020809108240529534,0.045282093312918464,0.15037798516798612,0.27107273982823615,0.20253773095581878,0.03960649799639552,0.10763523796268436,0.11633124048963878,0.1749240562716499,0.045184888897063305,0.16231517168064594,0.07133873452668825,0.05330084590132359,0.1060728396329163,0.3017530722703809,0.09371961915455863,0.15308829673027682,0.08761945255338181,-0.006249712207184115,0.15738473254736066,0.012486326058854625,0.27325825800171855,0.035386731482582194,0.05292615240073526,0.11576463547582166,0.2054732452475149,0.14321079551347385,0.03955677332666531,0.10542011012391009,0.15280203579949048,0.060245225044655286,0.08919662014233576,0.09941265116346831
AA-A069.jpg,0.023888738775577713,0.21399776071583942,0.037540297936286174,0.025227901448486696,0.2283718399549213,0.002799054765912377,0.013735153155282898,0.06098703224070259,0.015107739260572435,0.030471784410050443,0.2660060657670384,0.21323644579287415,0.011075455930498343,0.020408536669450594,0.058123552942700885,0.010282450661212176,0.019605753108083258,-0.0070661550415050105,0.027001892128001848,0.02753643331434282,0.28003119423838024,0.07636311328562509,0.023141610126744813,0.04792323949942766,0.1569525182879279,0.08493201134004429,0.03414807225873484,0.06984762446576247,0.10085604936081738,0.011873814823198886,0.02181303936403111,0.19021809880599433,0.01834794119737738,0.008765671413157084,0.007362796422402171,0.03129113264072038,0.07807067385358417,0.007011813726900909,0.20026169045244935,0.018272622659721516,0.0378196642371729,0.16751669477899736,0.10590151684389441,0.18986377572048763,0.016864356911730112,0.033696044587371125,0.17379059816727516,0.02252383427475127,0.019059626335663674,0.05023128628222993
AA-A095.jpg,0.045858558026834646,0.2311384930637013,0.030288027914701296,0.011554256790785151,0.19970534860582292,0.10572456780879252,0.01124853527531538,0.03131130709390501,0.004165495362632792,0.03599640607958821,0.1865562804814786,0.18793160500369988,0.005381366058476727,0.05426701775870827,0.036092671525277294,0.03338445455194561,0.02069323980127737,0.004391255126521412,-0.006235337033356247,0.058626204578986284,0.2500818507599387,0.20376097247917813,0.0032847508271814352,0.053104262933113835,0.08496668652536582,0.0818911750691449,0.009394044339138796,0.0454906403629068,0.03434990384914951,0.00643519440105313,0.05474808745447902,0.25570406488507613,0.03441124733948401,0.08372173768595308,0.012541804432973766,0.03475186116251643,0.1540294921428367,0.022593579433936847,0.2725809654834894,0.0007643620565072674,0.023020504142789316,0.11063903448916454,0.1769938307455858,0.16547909898994598,0.021422607806344463,0.026094472777582166,0.12985215040634326,0.004067471653261099,0.052177113327752996,0.05881955552378066
AA-Animals_056_h.jpg,0.03107553090002696,0.22216989162040165,0.02808936955222717,0.0047519133300325455,0.23709646087095593,0.052817007206417806,0.044418338350617176,0.05534476393997626,0.01298007316634787,0.05705519226169307,0.24836891075465056,0.1575547724740151,0.042265616575376135,0.027010523505611766,0.06671235692322193,0.014840803601089575,0.019882126212684797,-0.0038777425911466256,0.02486434792059937,0.08319218756602602,0.2640608917543539,0.19937677852676325,0.008346681706253366,0.09057778150987762,0.10713084459241273,0.0851974666965068,-0.004747253146108918,0.11321543551895587,0.08818252019927257,0.015308748560957817,0.06025793398033966,0.3199613956359358,0.013230863954628394,0.07640603778861742,0.04359044822877056,-0.0009323258219599547,0.15906327688276364,0.001069293446245453,0.25844896051076105,0.03944816483652871,0.04083912061859628,0.16467255717897936,0.1792768884896204,0.09887653052737501,0.019808077921513338,0.02777168919877376,0.16683555010005394,-0.0016063715191842619,0.03877793426478838,0.06968071528644323
AC-Faces_321_h.jpg,0.012798954788893173,0.1607558810054743,0.008499271000790622,0.006369082341691651,0.22822987050515012,0.14494236459115054,0.030762265762470244,0.04852054811521151,0.0010714977810254288,0.024337888628809312,0.20675398652679441,0.16483729851368087,0.01992061960711775,0.06347671214969655,0.05485475876900751,0.006243377076792714,0.012717905388526081,0.013868345662686035,-0.0033380363331267544,0.10241027288105382,0.26036493552650525,0.09473425052285674,0.03474442656035024,0.03755782028147842,0.09761413324259847,0.02228863864264138,0.006878968949856348,0.09470013825528062,0.07715660954612381,0.00889884019142082,0.07905953670393936,0.20686628814492725,0.020161806934747995,0.05686009056935437,0.003049270853040168,0.005098056484641781,0.11630280052074386,0.01708088365717883,0.1986640935290994,0.02769102750330779,0.04767587731547005,0.14354040007965574,0.12153466786127397,0.12892246983724798,0.020581904398233875,0.0356948041658523,0.16533659915603047,0.02771793598295775,0.00517261456178263,0.05857192657043249
AC-beauty.jpg,-0.001895875073227338,0.11322578992311098,0.009434754574756078,0.0012351124971838239,0.2321534419443478,0.06560800175486092,0.040994820428821827,0.024819007807981776,0.019764812416057084,0.018537279612964034,0.11931490680867304,0.16987507173114028,0.020967026556955766,0.036510711759357516,0.029700592210121432,0.031565212618937126,0.016479396473032,-0.00264000763653462,0.005405385889735204,0.037535131254983325,0.22811915836141952,0.12955849745345552,-0.006708734691562743,0.030352593188045614,0.09500709248018444,0.01742164385052017,0.023972251885428935,0.06482359814548225,0.03675969837921508,0.008552893110562142,0.03103091158580767,0.15330807752841777,0.021829223482206138,0.035251627842699654,-0.00468559339342163,0.006869525528665651,0.059556607704441836,0.01094210496087296,0.12988554795679216,0.0210548895517156,0.003613044977904353,0.08574301244678449,0.037603843677772274,0.08800933607749792,0.009982865777828358,0.06998761255767628,0.16971118993647236,0.03572765118301345,-0.001428085023296347,0.05923514184330817
AC-catch.jpg,0.02863447455616197,0.09144801614772576,0.02491799543865722,0.07622326392997993,0.2428321940727285,0.17854458175629365,0.05328460424940439,0.027641782466464065,0.03301061809198787,0.06330327697623042,0.11978478908350913,0.10895127040990947,0.01398911172780031,0.03761628312410598,0.022411731696180315,0.06947649815733398,0.028288260006468002,-0.004003250096888811,0.02115376963380964,0.09094864047343644,0.15941179577304623,0.08149582823989918,0.002549005026669192,0.0410812696926868,0.0845533631131949,0.023117362615321307,0.0065102354497514,0.05424452760151962,0.025352479944012546,-0.00025666558943907556,0.03467555568537497,0.14078964495394355,0.04410968565599672,0.05339435524358178,0.01088187268323287,0.02856065211369963,0.07822386946464978,0.021686582254658603,0.16402784341727003,-0.00406936693031237,0.032167042802275066,0.07778587932325626,0.11103794890808003,0.061429056969159825,-0.0017398476944446742,0.00798849711355589,0.1514752830287343,0.003915191219185859,0.034750537987725996,0.01967154251105789
AC-run.jpg,0.03776809330180269,0.1137521065945904,0.0209117793030112,0.04927184567679132,0.21254545235449124,0.05002385158982874,0.016252598611962543,0.03732796054813567,0.0252642894692262,0.04633327495928882,0.12810829357510803,0.1345216926193953,0.0044234428145095385,0.050252495815913636,0.02651024898796257,0.02158357284257673,0.04225936097188568,-0.004466078076221615,0.009518904581035426,0.029308395329917834,0.18159896782726598,0.052410690724571676,0.011496723226979795,0.02762807032513062,0.08243561238154773,0.01915153351635703,0.01193942490001589,0.038404566288970335,0.005601569559686298,0.0006551361281432539,0.050214361993202075,0.128708020339609,0.031218496308887712,0.015562894621335942,0.003688243190839525,0.028294386723306517,0.03928580287494391,0.0011112460270646747,0.15365839319228558,0.004521984826836057,0.00847763125387451,0.11558446396899871,0.04135163958337394,0.054139492704880374,0.019281416771882207,0.04223748011066179,0.12477395794515467,0.025099434642039377,0.030438016432801505,0.018905203238102672
